"","Age1","Age2","Liberty","Length1","Length2","Sex","Area1","Date0","Date1","Date2","release.weight","weight","distance"
"1151",6.02264927934111,7,0.977350720658888,112,78,2,8,1999-01-27 00:00:00,2006-01-27,2007-01-18,16.2,15,9.75157507439557
"1161",11.0391214824983,12,0.960878517501716,97,98,1,8,1994-02-02 00:00:00,2006-02-02,2007-01-18,10.2,9.11,5.10064428615807
"1171",6.97460535346603,10,3.02539464653397,67,108,1,8,1994-01-12 00:00:00,2004-01-12,2007-01-18,3.8,5.89,423.241587919274
"1181",11.0199039121482,12,0.98009608785175,94,107,1,8,1994-01-27 00:00:00,2006-01-27,2007-01-19,13.2,13.5,12.3534540392467
"1191",16.0089224433768,17,0.991077556623198,135,135,1,8,1989-01-24 00:00:00,2006-01-24,2007-01-20,35.5,24.5,8.08217058841838
"1201",13.0199039121482,14,0.98009608785175,115,115,1,8,1992-01-28 00:00:00,2006-01-28,2007-01-20,19.5,17.2,16.971645223474
"1211",12.0089224433768,13,0.991077556623198,123,120,2,8,1993-01-24 00:00:00,2006-01-24,2007-01-20,20.6,19,16.9444508024207
"1221",13.0061770761839,14,0.99382292381606,107,108,1,8,1992-01-24 00:00:00,2006-01-24,2007-01-21,15.3,14,9.7875747642046
"1231",10.0061770761839,11,0.99382292381606,115,105,1,8,1995-01-25 00:00:00,2006-01-25,2007-01-22,12.4,11,1.16754457435286
"1251",4.05284831846259,9,4.94715168153741,57,84,2,8,1993-02-17 00:00:00,2002-02-17,2007-01-24,2,7.2,577.44326912854
"1261",12.0061770761839,13,0.99382292381606,108,107,1,8,1993-01-27 00:00:00,2006-01-27,2007-01-24,15.4,15.5,3.73644276147007
"1271",16.025394646534,17,0.974605353466026,105,106,2,8,1989-02-03 00:00:00,2006-02-03,2007-01-24,15.6,13.5,34.0343530561904
"1281",13.0034317089911,14,0.996568291008922,95,103,2,8,1992-01-27 00:00:00,2006-01-27,2007-01-25,13.4,12.86,5.64545595279725
"1291",9.01441317776253,10,0.985586822237474,92,94,2,8,1996-02-01 00:00:00,2006-02-01,2007-01-26,10.5,9.8,16.4549600635243
"1301",14.0089224433768,15,0.991077556623198,107,109,2,8,1991-02-03 00:00:00,2006-02-03,2007-01-30,15.4,15.38,20.1305570151739
"1311",10.9835277968428,11,0.0164722031571723,97,97,1,8,1996-01-23 00:00:00,2007-01-23,2007-01-29,10.3574675904981,10.5,5.15184512213806
"1321",11.9890185312286,12,0.0109814687714482,109,106,1,8,1995-01-25 00:00:00,2007-01-25,2007-01-29,14.7715202233451,14,6.84102358232573
"1331",10.0089224433768,11,0.991077556623198,108,113,1,8,1995-02-02 00:00:00,2006-02-02,2007-01-29,14.6,13.9,10.3736066775236
"1341",11.0061770761839,12,0.99382292381606,113,115,2,8,1994-02-02 00:00:00,2006-02-02,2007-01-30,18.5,17.3,31.2916029739677
"1351",7.94166094715168,11,3.05833905284832,75,96,1,8,1993-01-12 00:00:00,2004-01-12,2007-01-30,5,11.45,391.707518226888
"1361",13.9732326698696,15,1.0267673301304,114,109,1,8,1991-01-23 00:00:00,2006-01-23,2007-02-01,15.3,13,3.02170578390423
"1371",14.9897048730268,16,1.01029512697323,149,146,1,4,1989-12-28 00:00:00,2005-12-28,2006-12-31,38.2490223224966,36,71.9380764942663
"1391",6.04049416609472,9,2.95950583390528,90,97,1,4,1995-01-22 00:00:00,2004-01-22,2007-01-04,9.4,9.5,38.9833524411065
"1401",16.0006863417982,17,0.999313658201785,125,127,2,4,1989-01-08 00:00:00,2006-01-08,2007-01-07,22.4113375810457,24.5,48.837577817536
"1411",7.98764584763212,10,2.01235415236788,95,106,1,4,1995-01-09 00:00:00,2005-01-09,2007-01-12,10.05,13.5,40.8094854169041
"1421",14.9485243651338,16,1.05147563486616,128,132,1,4,1989-12-27 00:00:00,2005-12-27,2007-01-14,24.088872650457,29.5,67.6957790651931
"1431",13.0006863417982,14,0.999313658201785,138,136,2,2,1991-12-25 00:00:00,2005-12-25,2006-12-24,22,19,31.7001519977144
"1441",17.0116678105697,18,0.988332189430336,143,144,2,2,1987-12-30 00:00:00,2005-12-30,2006-12-25,30,24,50.7109139333976
"1451",18.0006863417982,19,0.999313658201785,145,145,2,2,1986-12-26 00:00:00,2005-12-26,2006-12-25,32,26.5,59.6502105652754
"1461",15.0061770761839,16,0.99382292381606,125,127,2,2,1989-12-28 00:00:00,2005-12-28,2006-12-25,15,17,53.8484862189643
"1481",22.9759780370625,24,1.02402196293754,145,148,1,4,1981-12-27 00:00:00,2005-12-27,2007-01-04,35.208745424168,40.5,2.04835188248525
"1501",8.98970487302677,10,1.01029512697323,108,108,2,4,1996-01-05 00:00:00,2006-01-05,2007-01-08,14.3629134523704,12,24.9665115551136
"1511",13.9622512010981,15,1.03774879890185,127,124,1,4,1990-12-26 00:00:00,2005-12-26,2007-01-08,23.5206489343733,25.5,9.48608331350286
"1521",6.99862731640357,9,2.00137268359643,100,109,1,4,1996-01-11 00:00:00,2005-01-11,2007-01-10,10.6,13.5,21.0755768173742
"1531",10.9814687714482,12,1.01853122855182,111,117,1,4,1994-01-04 00:00:00,2006-01-04,2007-01-10,15.6120067725881,17,9.04925220882484
"1551",10.9862731640357,15,4.01372683596431,102,116,1,4,1988-01-13 00:00:00,2003-01-13,2007-01-14,12.5,18,41.0026218993507
"1561",13.9821551132464,16,2.0178448867536,132,137,2,4,1989-01-09 00:00:00,2005-01-09,2007-01-14,26.4,30,31.3599253071288
"1581",9.01853122855182,12,2.98146877144818,90,110,2,4,1992-01-25 00:00:00,2004-01-25,2007-01-15,10.1,16,16.0556287475204
"1591",13.98078242965,14,0.0192175703500343,119,122,1,4,1993-01-09 00:00:00,2007-01-09,2007-01-16,24.3,25,0.971133377558213
"1601",9.00274536719286,13,3.99725463280714,93,113,1,4,1990-01-21 00:00:00,2003-01-21,2007-01-16,9,16,58.6405437415036
"1611",9.95950583390528,11,1.04049416609472,102,107,1,4,1995-01-03 00:00:00,2006-01-03,2007-01-17,13.8,13,74.0548347656894
"1621",9.1105010295127,14,4.8894989704873,96,117,1,4,1988-03-06 23:00:00,2002-03-07,2007-01-21,10.1,18.5,7.40780899532819
"1631",8.9334248455731,12,3.0665751544269,100,116,1,5,1992-01-03 00:00:00,2004-01-03,2007-01-24,12.2,21,59.9084952125829
"1641",9.97940974605353,12,2.02059025394647,105,117,1,5,1993-01-21 00:00:00,2005-01-21,2007-01-27,14.74,20,214.051663022146
"1651",11.0267673301304,14,2.9732326698696,103,115,1,5,1990-02-10 00:00:00,2004-02-10,2007-01-28,13.2,21,91.7664137242925
"1661",10.9931365820178,13,2.00686341798216,109,116,2,5,1992-01-30 00:00:00,2005-01-30,2007-01-31,14.58,18,195.56993123571
"1671",15.0171585449554,16,0.982841455044612,153,145,1,2,1990-01-01 00:00:00,2006-01-01,2006-12-25,41,32,30.2305880668886
"1681",13.0006863417982,14,0.999313658201785,123,124,2,2,1991-12-28 00:00:00,2005-12-28,2006-12-27,21,22,6.45854486541983
"1691",15.0171585449554,16,0.982841455044612,123,126,2,2,1990-01-03 00:00:00,2006-01-03,2006-12-27,23,18,5.08700811683847
"1701",23.9917638984214,24,0.00823610157858614,165,165,1,2,1982-12-24 00:00:00,2006-12-24,2006-12-27,48,42.84,4.09606736416291
"1711",15.9951956074125,17,1.00480439258751,147,134,2,2,1988-12-26 00:00:00,2005-12-26,2006-12-27,25,21.14,21.1995520720708
"1721",16.0089224433768,17,0.991077556623198,126,129,2,2,1989-01-01 00:00:00,2006-01-01,2006-12-28,29,22,1.72705105697819
"1731",25.0034317089911,26,0.996568291008922,135,132,2,2,1979-12-30 00:00:00,2005-12-30,2006-12-28,27,20,2.25608079031909e-06
"1741",18.9924502402196,20,1.00754975978037,152,157,2,2,1985-12-26 00:00:00,2005-12-26,2006-12-28,37,34,8.94040474699529
"1751",16.0089224433768,17,0.991077556623198,149,154,2,2,1989-01-01 00:00:00,2006-01-01,2006-12-28,36,32,0.364293528025522
"1761",13.0336307481126,14,0.96636925188744,129,126,1,4,1992-01-15 00:00:00,2006-01-15,2007-01-02,31.2,22,113.386764507403
"1771",8.02951269732327,11,2.97048730267673,80,95,1,4,1993-01-17 00:00:00,2004-01-17,2007-01-03,5.76184865056497,11.5,122.260621682438
"1781",7.97048730267673,9,1.02951269732327,94,97,1,4,1996-12-24 00:00:00,2005-12-24,2007-01-03,10.4,11.5,106.996426268641
"1791",6.01235415236788,8,1.98764584763212,85,95,1,4,1997-01-11 00:00:00,2005-01-11,2007-01-05,7.56,9.5,11.2201391090799
"1801",8.04529855868222,10,1.95470144131778,90,97,2,5,1995-01-24 00:00:00,2005-01-24,2007-01-06,7.87,10.82,1.27417991732335
"1811",12.0061770761839,13,0.99382292381606,124,125,1,5,1993-01-10 00:00:00,2006-01-10,2007-01-07,22.5,21,8.93694635411088
"1821",9.98764584763212,12,2.01235415236788,110,116,1,4,1993-01-06 00:00:00,2005-01-06,2007-01-09,10.5,15.56,12.0960969011963
"1831",11.1544269045985,16,4.84557309540151,105,129,1,4,1986-03-10 23:00:00,2002-03-11,2007-01-09,12.8,25,67.2948109932098
"1841",7.12216884008236,13,5.87783115991764,94,125,1,4,1988-02-28 00:00:00,2001-02-28,2007-01-09,9.5,24,NA
"1851",9.0487302676733,12,2.9512697323267,110,111,1,4,1992-02-01 00:00:00,2004-02-01,2007-01-11,15.1878599797494,16.76,15.7781870609268
"1861",13.9512697323267,15,1.0487302676733,137,137,1,4,1990-12-26 00:00:00,2005-12-26,2007-01-12,29.6233530582988,32,68.7130865509239
"1871",10.0308853809197,11,0.969114619080302,132,111,1,4,1995-01-24 00:00:00,2006-01-24,2007-01-12,26.4539607592779,15.5,551.731084469609
"1881",10.0679478380233,13,2.93205216197666,105,117,1,5,1991-02-11 00:00:00,2004-02-11,2007-01-14,14,17.5,87.5493428161598
