                 Estimate   Std. Error
Length1_hat  7.913647e+01 1.779017e+00
Length1_hat  1.058346e+02 1.471162e+00
Length1_hat  1.009801e+02 1.319122e+00
Length1_hat  8.173144e+01 2.290075e+00
Length1_hat  1.307155e+02 1.559945e+00
Length1_hat  1.096247e+02 1.199397e+00
Length1_hat  1.088241e+02 1.369321e+00
Length1_hat  8.766250e+01 2.099365e+00
Length1_hat  8.527405e+01 1.628582e+00
Length1_hat  8.353818e+01 1.656276e+00
Length1_hat  8.622632e+01 1.414465e+00
Length1_hat  9.153819e+01 1.662872e+00
Length1_hat  1.088573e+02 1.370404e+00
Length1_hat  6.824051e+01 2.277938e+00
Length1_hat  8.110158e+01 1.870411e+00
Length1_hat  8.182318e+01 2.316958e+00
Length1_hat  8.308331e+01 2.210500e+00
Length1_hat  8.392437e+01 1.606756e+00
Length1_hat  8.280692e+01 1.667347e+00
Length1_hat  1.029811e+02 1.366412e+00
Length1_hat  7.598561e+01 1.815877e+00
Length1_hat  9.569491e+01 1.598806e+00
Length1_hat  8.587639e+01 1.405368e+00
Length1_hat  9.887016e+01 1.650552e+00
Length1_hat  8.563115e+01 2.070817e+00
Length1_hat  7.416475e+01 1.908749e+00
Length1_hat  8.698564e+01 1.473161e+00
Length1_hat  7.730455e+01 1.687592e+00
Length1_hat  6.786230e+01 2.518506e+00
Length2_hat  1.280666e+02 1.617863e+00
Length2_hat  1.208341e+02 1.651445e+00
Length2_hat  1.397695e+02 2.111193e+00
Length2_hat  1.161375e+02 1.783987e+00
Length2_hat  1.287423e+02 1.986770e+00
Length2_hat  1.098428e+02 1.714668e+00
Length2_hat  1.214438e+02 1.680273e+00
Length2_hat  1.216470e+02 2.292551e+00
Length2_hat  1.062804e+02 1.755681e+00
Length2_hat  1.009752e+02 1.589239e+00
Length2_hat  1.308802e+02 3.410269e+00
Length2_hat  1.168996e+02 1.798978e+00
Length2_hat  1.121145e+02 1.668659e+00
Length2_hat  1.306497e+02 2.802614e+00
Length2_hat  1.246524e+02 2.093871e+00
Length2_hat  1.118805e+02 1.583976e+00
Length2_hat  1.306497e+02 2.802614e+00
Length2_hat  1.219561e+02 2.068512e+00
Length2_hat  1.220113e+02 2.070227e+00
Length2_hat  1.281061e+02 2.615315e+00
Length2_hat  1.220793e+02 2.075912e+00
Length2_hat  1.265421e+02 1.695081e+00
Length2_hat  1.253322e+02 1.614176e+00
Length2_hat  1.330941e+02 2.115584e+00
Length2_hat  1.592301e+02 6.347128e+00
Length2_hat  1.042456e+02 1.432740e+00
Length2_hat  1.086122e+02 1.420396e+00
Length2_hat  1.019655e+02 1.256345e+00
Length2_hat  1.009464e+02 1.239545e+00
Length2_hat  1.137292e+02 1.308358e+00
Length2_hat  1.213556e+02 1.552142e+00
Length2_hat  1.138432e+02 1.328563e+00
Length2_hat  1.229074e+02 1.541379e+00
Length2_hat  1.210861e+02 1.545927e+00
Length2_hat  1.131718e+02 1.274493e+00
Length2_hat  1.186659e+02 1.682904e+00
Length2_hat  1.277196e+02 1.865332e+00
Length2_hat  1.197792e+02 1.448109e+00
Length2_hat  1.046970e+02 1.400320e+00
Length2_hat  1.136277e+02 1.323063e+00
Length2_hat  1.134714e+02 1.320129e+00
Length2_hat  1.080183e+02 1.454800e+00
Length2_hat  1.137327e+02 1.327634e+00
Length2_hat  1.192845e+02 1.737688e+00
Length2_hat  8.655330e+01 1.411958e+00
Length2_hat  1.080701e+02 1.425779e+00
Length2_hat  1.038508e+02 1.380022e+00
Length2_hat  1.193401e+02 1.448752e+00
Length2_hat  1.174011e+02 1.588979e+00
Length2_hat  1.239485e+02 1.573405e+00
Length2_hat  1.298386e+02 2.048575e+00
Length2_hat  1.261023e+02 1.691961e+00
Length2_hat  1.464506e+02 4.106285e+00
Length2_hat  1.514054e+02 4.870412e+00
Length2_hat  1.371258e+02 1.824282e+00
Length2_hat  1.116843e+02 1.180230e+00
Length2_hat  1.366272e+02 1.866332e+00
Length2_hat  1.182193e+02 1.420411e+00
Length2_hat  1.187070e+02 1.519732e+00
Length2_hat  1.288387e+02 1.654793e+00
Length2_hat  9.140267e+01 1.455973e+00
Length2_hat  1.119676e+02 1.209919e+00
Length2_hat  1.029991e+02 1.371463e+00
Length2_hat  1.119231e+02 1.215229e+00
Length2_hat  1.319310e+02 1.599171e+00
Length2_hat  1.187070e+02 1.519732e+00
Length2_hat  1.150699e+02 1.356949e+00
Length2_hat  1.186610e+02 1.512066e+00
Length2_hat  1.087454e+02 1.359195e+00
Length2_hat  9.764267e+01 1.459137e+00
Length2_hat  1.153892e+02 1.437672e+00
Length2_hat  1.307651e+02 1.519938e+00
Length2_hat  1.181756e+02 1.412855e+00
Length2_hat  1.031702e+02 1.372543e+00
Length2_hat  1.235992e+02 1.372129e+00
Length2_hat  1.087943e+02 1.383068e+00
Length2_hat  1.119757e+02 1.242225e+00
Length2_hat  1.087955e+02 1.376772e+00
Length2_hat  1.117995e+02 1.175340e+00
Length2_hat  1.087972e+02 1.392380e+00
Length2_hat  1.243750e+02 1.449757e+00
Length2_hat  1.299114e+02 1.690046e+00
Length2_hat  9.713990e+01 1.460517e+00
Length2_hat  1.307840e+02 1.516219e+00
Length2_hat  1.026264e+02 1.364292e+00
Length2_hat  1.299004e+02 1.701879e+00
Length2_hat  1.183504e+02 1.455492e+00
Length2_hat  1.330622e+02 1.558924e+00
Length2_hat  1.351881e+02 1.690905e+00
Length2_hat  1.288596e+02 1.632941e+00
Length2_hat  1.479139e+02 2.873631e+00
Length2_hat  1.034779e+02 1.294465e+00
Length2_hat  1.247734e+02 1.381700e+00
Length2_hat  9.690454e+01 1.467114e+00
Length2_hat  1.120120e+02 1.206579e+00
Length2_hat  1.247320e+02 1.393326e+00
Length2_hat  1.286747e+02 1.664350e+00
Length2_hat  1.118855e+02 1.177298e+00
Length2_hat  1.187390e+02 1.526018e+00
Length2_hat  1.152581e+02 1.443618e+00
Length2_hat  1.087934e+02 1.353981e+00
Length2_hat  1.186914e+02 1.522468e+00
Length2_hat  1.120050e+02 1.237724e+00
Length2_hat  1.114912e+02 1.261182e+00
Length2_hat  1.186317e+02 1.511472e+00
Length2_hat  1.146244e+02 1.381971e+00
Length2_hat  1.299820e+02 1.694166e+00
Length2_hat  1.183504e+02 1.455492e+00
Length2_hat  1.289162e+02 1.645617e+00
Length2_hat  1.479544e+02 2.878855e+00
Length2_hat  1.308520e+02 1.526155e+00
Length2_hat  1.307902e+02 1.516334e+00
Length2_hat  1.496248e+02 3.005289e+00
Length2_hat  1.371189e+02 1.820566e+00
Length2_hat  1.307902e+02 1.516334e+00
Length2_hat  1.187672e+02 1.535983e+00
Length2_hat  1.088719e+02 1.362649e+00
Length2_hat  9.709118e+01 1.439230e+00
Length2_hat  9.358741e+01 1.611231e+00
Length2_hat  1.030787e+02 1.333306e+00
Length2_hat  1.154229e+02 1.430969e+00
Length2_hat  1.118668e+02 1.235320e+00
Length2_hat  1.299966e+02 1.721896e+00
Length2_hat  1.154533e+02 1.441036e+00
Length2_hat  1.120939e+02 1.230036e+00
Length2_hat  1.247414e+02 1.373653e+00
Length2_hat  1.088253e+02 1.361336e+00
Length2_hat  1.154228e+02 1.442381e+00
Length2_hat  1.342321e+02 1.660078e+00
Length2_hat  1.247011e+02 1.414958e+00
Length2_hat  1.083397e+02 1.380093e+00
Length2_hat  1.247011e+02 1.414958e+00
Length2_hat  1.319579e+02 1.619548e+00
Length2_hat  1.180666e+02 1.433676e+00
Length2_hat  1.244971e+02 1.420991e+00
Length2_hat  1.307651e+02 1.519938e+00
Length2_hat  1.371318e+02 1.825771e+00
Length2_hat  9.696685e+01 1.429440e+00
Length2_hat  1.088123e+02 1.387952e+00
Length2_hat  1.087305e+02 1.367742e+00
Length2_hat  1.186469e+02 1.512032e+00
Length2_hat  1.281616e+02 1.522000e+00
Length2_hat  1.369382e+02 1.786944e+00
Length2_hat  1.330742e+02 1.989006e+00
Length2_hat  1.409652e+02 2.072512e+00
Length2_hat  9.921993e+01 1.833067e+00
Length2_hat  1.412957e+02 2.165393e+00
Length2_hat  1.346901e+02 2.164268e+00
Length2_hat  1.365594e+02 1.732986e+00
Length2_hat  1.281292e+02 1.550561e+00
Length2_hat  9.280459e+01 2.035646e+00
Length2_hat  1.131010e+02 1.621571e+00
Length2_hat  1.350246e+02 1.865772e+00
Length2_hat  1.373464e+02 1.900166e+00
Length2_hat  1.232235e+02 1.735532e+00
Length2_hat  1.194506e+02 1.688241e+00
Length2_hat  1.126216e+02 1.417914e+00
Length2_hat  1.282546e+02 1.474229e+00
Length2_hat  1.409695e+02 1.976946e+00
Length2_hat  1.389307e+02 1.849262e+00
Length2_hat  1.073456e+02 1.475595e+00
Length2_hat  1.161027e+02 1.463495e+00
Length2_hat  1.127230e+02 1.665656e+00
Length2_hat  1.411105e+02 2.052184e+00
Length2_hat  1.224639e+02 1.629974e+00
Length2_hat  1.231500e+02 1.718044e+00
